Year,Poondi,Cholavaram,Redhills,Chembarambakkam,Veeranam
2003,14,0,274,8,725
2004,324.2,158,793,494,1200
2005,2826,797,3052,2908,441
2006,2354,708,2426,2512,491
2007,2568,660,2440,2671,556
2008,3018,881,3022,3158,978
2009,2255,607,1652,1552,763
2010,2823,698,2695,2202,978
2011,2484,836,3006,2673,687
2012,796,329,1970,1141,425
2013,747,170,1850,956,1003
2014,280,61,1339,1189,838
2015,2745,595,2790,3141,573
2016,194,72,268,240,556
2017,1004,595,1557,1759,720
2018,381,40,1102,185,1137
2019,989,96,1639,749,1344
2020,2902,504,2841,3123,978
2021,2841,817,2908,3187,957
