Year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2003,0,0,5,5,6,26,141,139,103,231,98,56,810
2004,30,0,0,7,229,50,51,37,191,275,297,5,1171
2005,0,0,9,101,32,52,84,119,207,590,514,501,2208
2006,0,0,28,31,22,139,55,113,172,420,224,36,1240
2007,0,6,0,12,19,68,245,271,175,265,118,270,1449
2008,85,6,189,0,28,128,89,136,121,327,530,16,1655
2009,8,0,1,0,27,33,48,146,139,86,450,181,1120
2010,2,0,0,0,160,106,269,296,160,147,180,242,1561
2011,2,58,0,35,24,60,85,249,147,167,394,96,1316
2012,10.2,0,0.2,3.5,11.1,31.8,119.6,60.9,146.3,320.3,103.9,174,981.8
2013,0,44.2,22.7,3.5,1.4,71.7,145.9,170.7,241.8,215.7,119.8,27.6,1064.9
2014,0,0.1,0,0,17.5,85.2,101.3,121.9,136.1,245,191.5,127.3,1025.8
2015,1.4,0,0.5,54.4,24.5,57,163.2,172.7,88.3,178.2,995.6,419.3,2155.2
2016,0.3,0,0,0,186.8,133.9,36,14.4,249.2,7,34.9,210.9,873.5
2017,3.9,0,0,0,32,81.3,84.8,266.7,109.3,330.3,417.7,62,1388.1
2018,0,0.8,5.3,0,1.3,35.0,63.3,165.7,134.0,134.7,248.7,91.3,880.1
2019,0,1.3,0,3.3,9,16.7,107,177.7,327.0,367.7,84.7,191,1285.3
2020,49, , ,25,3,39,105,127,199,227,379,225,1379
2021,90,4,"
12",29,43,251,260,68,76,832,,,
